CD_REFNIS;SectorId;POPULATION;DT_STRT_SECTOR;DT_STOP_SECTOR;OPPERVLAKKTE IN HM²;TX_DESCR_SECTOR_NL;Value
11002;11002P111;1506;01Jan1983;31Dec9999;51,95167691;DE BIST;2898,847717
11002;11002P12-;957;01Jan1983;31Dec9999;25,54390081;DE NOTESCHELP;3746,491216
11002;11002P192;0;01Jan1983;31Dec9999;17,02115126;HOGE BIST;0
11002;11002P20-;1288;01Jan1983;31Dec9999;28,43197187;HOEKAKKER;4530,111403
11002;11002P21-;1255;01Jan1983;31Dec2018;58,33183676;LUCASWIJK;2151,483769
11002;11002P22-;988;01Jan1983;31Dec9999;42,40623058;PRINSHOEVELAND;2329,846314
11002;11002P23-;1982;01Jan1983;31Dec9999;33,79737542;LAGE BIST;5864,360695
11002;11002P242;217;01Jan1983;31Dec9999;18,95660337;KLAVERVELDEN;1144,719841
11002;11002P291;0;01Jan1983;31Dec2018;106,8500692;LAAR;0
11002;11002P392;2;01Jan1983;31Dec9999;41,17778529;VLOEIENDE;4,856987781
11002;11002P500;1220;01Jan1983;31Dec9999;54,06859842;LEUGENBERG;2256,392871
11002;11002P589;145;01Jan1983;31Dec9999;92,0982339;DE HOEKX;157,4405869
11002;11002P590;104;01Jan1983;31Dec9999;68,17806496;KROMMESTR.- AKKER - BREDESTR.- VELDEN;152,5417303
11002;11002Q001;3995;01Jan1983;31Dec9999;28,01924465;OUD MERKSEM;14258,05745
11002;11002Q012;3703;01Jan1983;31Dec9999;32,04757308;MERKSEM-CENTRUM;11554,69711
11002;11002Q021;903;01Jan1983;31Dec9999;12,13532099;LAATLOS;7441,088707
11002;11002Q03-;3341;01Jan1983;31Dec9999;42,89681107;GAGELVELDEN;7788,457736
11002;11002Q04-;2603;01Jan1983;31Dec9999;24,31798403;KLUIZEVELDEN;10704,01229
11002;11002Q052;918;01Jan1983;31Dec9999;7,455430127;EIGEN HEERD;12313,17287
11002;11002Q072;138;01Jan1983;31Dec9999;29,95232975;DUIVELSHOEK;460,7321071
11002;11002Q091;38;01Jan1983;31Dec9999;16,67926644;PARK;227,8277653
11002;11002Q10-;3133;01Jan1983;31Dec9999;33,28798632;OUDE BAREEL;9411,803917
11002;11002Q11-;1498;01Jan1983;31Dec9999;31,8004029;MERKSEMHEIDE;4710,63214
11002;11002Q12-;4316;01Jan1983;31Dec9999;43,23019428;KROONWIJK;9983,762674
11002;11002Q13-;3125;01Jan1983;31Dec9999;33,90732827;MELGESDREEF;9216,296769
11002;11002Q14-;3046;01Jan1983;31Dec9999;45,35326665;TUINWIJK;6716,164513
11002;11002Q17-;113;01Jan1983;31Dec9999;60,11164592;MERKSEM-DOKKEN;187,9835401
11002;11002Q201;6217;01Jan1983;31Dec9999;53,55420208;LAMBRECHTSHOEKEN;11608,79961
11002;11002Q212;2777;01Jan1983;31Dec9999;23,89784003;LAARSE BAAN-WEST;11620,29705
11002;11002Q222;479;01Jan1983;31Dec9999;6,93806462;RIETSCHOORVELDEN;6903,942616
11002;11002Q233;1482;01Jan1983;31Dec9999;15,5390612;LAARSE BAAN-OOST;9537,255702
11002;11002Q241;9;01Jan1983;31Dec9999;4,131438511;KRUISBAANVELDEN;217,8417995
11002;11002Q242;872;01Jan1983;31Dec9999;16,42542299;KRUISBAANVELDEN;5308,843497
11002;11002Q2AA;1448;01Oct2001;31Dec9999;28,15327558;T LAAR;5143,273635
11002;11002Q2PA;13;01Oct2001;31Dec2018;110,753153;T LAAR;11,73781482
11002;11002Q30-;263;01Jan1983;31Dec9999;27,99944323;KLEINE BAREEL;939,3043921
11002;11002Q39-;0;01Jan1983;31Dec9999;89,33027169;T FORT;0
11002;11002Q49-;5;01Jan1983;31Dec9999;18,54727081;SPORTPALEIS;26,95814414
11002;11002R00-;839;01Jan1983;31Dec9999;11,66658248;DEURNE - GEMEENTEHUIS;7191,480463
11002;11002R01-;2834;01Jan1983;31Dec9999;17,95669824;PLANKENBERG;15782,41146
11002;11002R02-;1352;01Jan1983;31Dec9999;24,4185109;DEURNE-HET DORP;5536,783162
11002;11002R03-;4038;01Jan1983;31Dec9999;28,00216633;GALLIFORT;14420,31289
11002;11002R04-;1751;01Jan1983;31Dec9999;13,27929014;KREGLINGER;13185,9458
11002;11002R05-;2695;01Jan1983;31Dec9999;22,66350412;TER RIVIEREN;11891,36501
11002;11002R099;18;01Jan1983;31Dec9999;125,6482371;RIVIERENHOF-NOORD;14,32570836
11002;11002R101;6014;01Jan1983;31Dec9999;39,16749918;KRONENBURG;15354,56725
11002;11002R110;5250;01Jan1983;31Dec9999;46,79706268;BISSCHOPPENHOF;11218,65284
11002;11002R12-;3896;01Jan1983;31Dec9999;24,9034059;CONFORTA;15644,44645
11002;11002R13-;6321;01Jan1983;31Dec9999;53,22789153;TEN EEKHOVE;11875,35297
11002;11002R172;51;01Jan1983;31Dec9999;18,19942979;KANAAL;280,2285598
11002;11002R180;1189;01Jan1983;31Dec9999;64,11253628;BREM;1854,551495
